,LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
64,Dog Senior Citizen or Disability Neutered Male,MIXED,WHITE/BLACK,MOLMARK,15143,2017,1/10/2017 16:18
65,Dog Individual Neutered Male,MIXED,WHITE/BLACK,MOLMARK,15143,2017,12/22/2016 8:40
66,Dog Individual Spayed Female,COCKER SPANIEL,WHITE/BLACK/BROWN,MAGGIE,15037,2017,3/27/2017 14:51
67,Dog Individual Neutered Male,VIZSLA,RED,ALI,15241,2017,12/2/2016 8:42
68,Dog Individual Spayed Female,LAB MIX,BLACK,MINNIE,15218,2017,12/29/2016 15:14
69,Dog Senior Citizen or Disability Spayed Female,MIXED,SPOTTED,TINA,15147,2017,2/27/2017 13:03
70,Dog Individual Neutered Male,MALTESE,WHITE,BAXTER,15229,2017,3/27/2017 12:26
71,Dog Senior Citizen or Disability Spayed Female,BEAGLE,WHITE/BLACK/BROWN,PEBBLES,15234,2017,12/20/2016 8:54
72,Dog Senior Citizen or Disability Spayed Female,CHIHUAHUA,WHITE/BROWN,HEIDI,15243,2017,12/13/2016 13:52
73,Dog Individual Neutered Male,GER SHEPHERD MIX,BLACK,BODIE,15228,2017,12/7/2016 16:19
74,Dog Individual Female,MIXED,SABLE,KASI,15084,2017,3/3/2017 15:09
75,Dog Individual Neutered Male,BEAGLE MIX,WHITE/BLACK,OSCAR,15106,2017,12/13/2016 13:52
76,Dog Individual Neutered Male,PARSON RUSSELL TERR,SPOTTED,BRADY,15106,2017,12/6/2016 15:29
77,Dog Individual Spayed Female,LABRADOR RETRIEVER,WHITE,MAGGIE,15108,2017,12/15/2016 16:07
78,Dog Individual Spayed Female,LABRADOODLE,MULTI,IZZIE,15136,2017,2/22/2017 15:37
79,Dog Individual Neutered Male,BEAGLE,MULTI,CUTTER,15122,2017,1/12/2017 16:34
80,Dog Individual Spayed Female,GER SHEPHERD,WHITE,HEMI,15045,2017,12/9/2016 10:27
81,Dog Individual Spayed Female,GER SHEPHERD MIX,WHITE/BLACK/BROWN,ROXY,15116,2017,2/17/2017 9:54
82,Dog Senior Citizen or Disability Spayed Female,LABRADOR RETRIEVER,BLACK,NOOKIE,15209,2017,12/14/2016 9:08
83,Dog Senior Citizen or Disability Neutered Male,GOLDEN RETRIEVER,GOLD,SONNY,15209,2017,12/14/2016 9:08
84,Dog Senior Citizen or Disability Neutered Male,SHIH TZU,BRINDLE,DUSTY,15137,2017,12/28/2016 16:31
85,Dog Senior Citizen or Disability Spayed Female,AIREDALE TERRIER,BLACK/TAN,LUCY,15135,2017,12/27/2016 15:22
86,Dog Individual Spayed Female,PEKINGESE,RED,TEDDIE,15063,2017,1/30/2017 10:57
87,Dog Senior Citizen or Disability Spayed Female,MIXED,BLACK/BROWN,ABBY,15112,2017,1/3/2017 8:51
88,Dog Individual Neutered Male,PARSON RUSSELL TERR,WHITE,JERRY,15116,2017,1/4/2017 9:01
89,Dog Individual Neutered Male,MIXED,BLACK/BROWN,DANNY,15120,2017,1/25/2017 10:03
90,Dog Individual Neutered Male,LHASA APSO,SPOTTED,BRINKLEY,15237,2017,1/11/2017 14:40
91,Dog Individual Male,YORKSHIRE TERRIER,BLACK/TAN,GIZMO,15136,2017,12/15/2016 16:01
92,Dog Individual Spayed Female,MIXED,BROWN,SCOOTER,15136,2017,12/14/2016 13:54
93,Dog Senior Citizen or Disability Spayed Female,COCKER SPANIEL MIX,BLACK,LADY,15143,2017,1/4/2017 15:14
94,Dog Individual Male,MALTESE,WHITE,CHANCE,15239,2017,2/3/2017 15:54
95,Dog Individual Female,MALTESE,WHITE,JULIE,15239,2017,2/3/2017 15:54
96,Dog Individual Male,WEIMARANER,SILVER,RUGER,15026,2017,2/2/2017 9:43
97,Dog Senior Citizen or Disability Spayed Female,WELSH CORGI PEMBROK,BLACK/TAN/WHITE,PEGGY SUE,15235,2017,1/6/2017 14:42
98,Dog Individual Spayed Female,CHIHUAHUA,.,ROSIE,15223,2017,12/12/2016 15:32
99,Dog Senior Citizen or Disability Spayed Female,COCKER SPANIEL,BLACK,MOLLIE,15102,2017,12/28/2016 16:13
100,Dog Individual Spayed Female,LABRADOR RETRIEVER,BLACK,DUCHESS,15210,2017,12/6/2016 8:45
101,Dog Senior Citizen or Disability Neutered Male,AM ESKIMO DOG,TAN,DYIKE,15209,2017,1/17/2017 14:56
102,Dog Senior Citizen or Disability Male,GER SHEPHERD,SPOTTED,MAX,15071,2017,12/16/2016 9:29
103,Dog Individual Male,YORKSHIRE TERRIER,BLACK/BROWN,ANGEL,15235,2017,12/7/2016 9:57
104,Dog Senior Citizen or Disability Spayed Female,BOXER,BRINDLE,MAGGIE,15236,2017,2/16/2017 16:23
105,Dog Individual Spayed Female,WEIMARANER,BLUE,ZOIYA,15235,2017,12/12/2016 13:35
106,Dog Senior Citizen or Disability Spayed Female,CHIHUAHUA MIX,TAN,ANNABELLE,15205,2017,1/12/2017 10:27
107,Dog Individual Neutered Male,LAB MIX,SPOTTED,PIPPIN,15090,2017,12/14/2016 16:17
108,Dog Individual Spayed Female,COCKAPOO,CREAM,SNICKERS,15065,2017,12/13/2016 16:04
109,Dog Individual Spayed Female,LABRADOR RETRIEVER,YELLOW,JADE,15220,2017,12/28/2016 16:31
110,Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,JORDAN,15146,2017,2/15/2017 14:40
111,Dog Senior Citizen or Disability Neutered Male,BASSET HOUND,MULTI,HAMMER,15071,2017,1/9/2017 11:07
112,Dog Senior Citizen or Disability Neutered Male,GER SHEPHERD,BLACK/TAN,LUKE,15237,2017,1/3/2017 14:03
113,Dog Individual Spayed Female,LHASA APSO MIX,BLONDE,BAILEY,15044,2017,1/5/2017 15:51
114,Dog Individual Spayed Female,MIXED,BLACK/BROWN,ZENA,15147,2017,2/22/2017 9:14
115,Dog Senior Citizen or Disability Neutered Male,AKITA,WHITE/BROWN,AMATSUMIKOTO,15215,2017,2/22/2017 9:14
116,Dog Senior Citizen or Disability Spayed Female,MIXED,WHITE/BLACK,TRIXIE,15227,2017,12/14/2016 16:16
117,Dog Senior Citizen or Disability Neutered Male,LABRADOR RETRIEVER,YELLOW,BRIDGER,15238,2017,12/15/2016 11:13
118,Dog Senior Citizen or Disability Spayed Female,MIXED,WHITE/BROWN,SHY,15216,2017,12/15/2016 12:09
119,Dog Individual Neutered Male,BOXER,BROWN,OTIS,15133,2017,1/25/2017 10:03
120,Dog Senior Citizen or Disability Male,MIXED,BLACK,BLACK TOP,15147,2017,2/13/2017 15:02
121,Dog Senior Citizen or Disability Female,MIXED,WHITE,SOPHIE,15122,2017,3/6/2017 9:42
122,Dog Individual Spayed Female,BORD COLLIE MIX,WHITE/BLACK,NIKKI,15147,2017,12/22/2016 8:56
123,Dog Individual Spayed Female,BORD COLLIE MIX,WHITE/BLACK,NIKKI,15147,2017,2/1/2017 15:03
124,Dog Senior Citizen or Disability Neutered Male,LAB MIX,BLACK,CJ,15137,2017,12/30/2016 8:29
125,Dog Individual Spayed Female,BOSTON TERRIER,BRINDLE,HANNAH,15104,2017,12/21/2016 8:35
126,Dog Senior Citizen or Disability Spayed Female,BOSTON TERRIER,BRINDLE,HANNAH,15104,2017,12/21/2016 8:35
127,Dog Senior Citizen or Disability Spayed Female,GER SHEPHERD,BLACK/TAN,SASSY,15024,2017,12/21/2016 10:03
128,Dog Senior Citizen or Disability Neutered Male,BEAGLE,MULTI,JACK,15209,2017,12/14/2016 16:17
129,Dog Individual Spayed Female,LAB MIX,BRINDLE,SYDNEY,15143,2017,12/16/2016 8:25
130,Dog Individual Spayed Female,MIXED,BROWN,SNICKERS,15147,2017,2/13/2017 11:54
131,Dog Senior Citizen or Disability Spayed Female,SHIH TZU MIX,BEIGE,GINGER,15146,2017,12/12/2016 13:35
132,Dog Individual Neutered Male,GREYHOUND,RED,BEAU,15234,2017,1/5/2017 12:45
133,Dog Individual Neutered Male,WELSH CORGI CARDIGA,WHITE/BROWN,MONTY,15146,2017,1/19/2017 15:56
134,Dog Senior Citizen or Disability Neutered Male,GOLDEN RETRIEVER,GOLD,JORDI,15238,2017,1/19/2017 15:57
135,Dog Senior Citizen or Disability Spayed Female,TERRIER,BLACK,GYPSY,15236,2017,12/16/2016 16:26
136,Dog Individual Spayed Female,MIXED,BROWN,GYPSY,15037,2017,2/24/2017 15:28
137,Dog Individual Neutered Male,HOUND MIX,BROWN,BUSTER,15235,2017,1/19/2017 15:57
138,Dog Senior Citizen or Disability Female,ENG COCKER SPANIEL,BLACK,APRIL VIOLET,15129,2017,1/13/2017 12:48
139,Dog Senior Citizen or Disability Female,POODLE MIN,SILVER,SILVER KAMEO,15229,2017,1/6/2017 14:42
140,Dog Senior Citizen or Disability Neutered Male,FOX TERRIER WIRE,WHITE/BROWN,GROMMET,15133,2017,12/22/2016 8:56
141,Dog Individual Spayed Female,SIB HUSKY,WHITE/BLACK/BROWN,REMI,15017,2017,2/9/2017 10:55
142,Dog Individual Spayed Female,MIXED,WHITE/BLACK/BROWN,EL,15135,2017,3/3/2017 10:51
143,Dog Individual Neutered Male,GOLDENDOODLE,BEIGE,CHARLIE,15236,2017,12/15/2016 9:57
144,Dog Individual Male,DOBERMAN PINSCHER,RED,WINSTON,15057,2017,2/21/2017 12:06
145,Dog Senior Citizen or Disability Male,BEAGLE,MULTI,JACK,15057,2017,1/17/2017 15:35
146,Dog Senior Citizen or Disability Spayed Female,BEAGLE,BLACK/BROWN,MAGGIE,15057,2017,1/17/2017 15:35
147,Dog Individual Female,GER SHEPHERD,BLACK/RED,LAYLA,15132,2017,1/25/2017 16:04
148,Dog Individual Neutered Male,GER SHEPHERD,BLACK/TAN,TANNAR,15120,2017,12/8/2016 10:09
149,Dog Individual Spayed Female,WEIMARANER,GREY,TRALEE,15126,2017,1/30/2017 13:52
150,Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BROWN,MOOT,15238,2017,12/13/2016 15:53
151,Dog Individual Spayed Female,DACHSHUND,BLACK/TAN,KATIE,15332,2017,2/24/2017 15:28
152,Dog Individual Spayed Female,GER SHEPHERD MIX,BROWN,HANNAH,15143,2017,2/10/2017 8:37
153,Dog Individual Male,MIXED,BLACK,BARON,15143,2017,12/8/2016 8:33
154,Dog Individual Neutered Male,TREE WALK COONHOUND,WHITE/BLACK/BROWN,FRED,15239,2017,12/13/2016 15:24
155,Dog Individual Spayed Female,LABRADOR RETRIEVER,BLACK,LIBBY,15108,2017,2/15/2017 15:53
156,Dog Individual Neutered Male,RETRIEVER MIX,WHITE/YELLOW,PEPSI,15071,2017,2/3/2017 15:52
157,Dog Individual Spayed Female,LABRADOR RETRIEVER,BLACK,MACIE,15106,2017,3/20/2017 15:02
158,Dog Senior Citizen or Disability Neutered Male,YORKSHIRE TERRIER,WHITE/BLACK,KENO,15137,2017,1/18/2017 15:34
159,Dog Senior Citizen or Disability Neutered Male,SHETLAND SHEEPDOG,BLACK/TAN/WHITE,ROCKY,15229,2017,12/7/2016 16:19
160,Dog Individual Spayed Female,MIXED,BLACK,GIGI,15102,2017,12/16/2016 8:40
161,Dog Individual Neutered Male,MIXED,WHITE,BAILEY,15227,2017,1/12/2017 9:36
162,Dog Individual Spayed Female,COCKAPOO,CREAM,PRINCESS,15227,2017,1/3/2017 8:52
164,Dog Individual Spayed Female,MALTESE,WHITE,SADIE,15227,2017,1/12/2017 9:36
165,Dog Senior Citizen or Disability Spayed Female,COLLIE MIX,TAN,MANDY,15144,2017,2/13/2017 16:12
166,Dog Senior Citizen or Disability Neutered Male,MALTESE,WHITE,STEWART,15102,2017,1/20/2017 9:00
167,Dog Senior Citizen or Disability Male,MIXED,WHITE/BLACK/BROWN,MALCOLM,15218,2017,2/21/2017 12:06
168,Dog Senior Citizen or Disability Neutered Male,W HGHLND WH TERRIER,WHITE,ROBBIE,15102,2017,3/7/2017 16:09
169,Dog Individual License - FREE,GER SHEPHERD,BLACK/FAWN,RICO,15122,2017,1/4/2017 14:13
170,Dog Individual Neutered Male,MIXED,BLACK,ACE,15221,2017,3/21/2017 13:20
171,Dog Individual Neutered Male,AM ESKIMO DOG,WHITE,FROSTY,15037,2017,2/13/2017 16:12
172,Dog Individual Spayed Female,MIXED,BROWN,LUCY,15014,2017,1/24/2017 10:13
173,Dog Individual Spayed Female,MIXED,WHITE,FLUFFY,15237,2017,1/9/2017 16:02
174,Dog Individual Neutered Male,SHIH TZU,BUFF,BAILEY,15056,2017,3/6/2017 16:02
175,Dog Senior Citizen or Disability Neutered Male,POODLE MIN,APRICOT,BUDDY,15221,2017,1/18/2017 9:06
176,Dog Individual Spayed Female,MIXED,BROWN,PUCK,15108,2017,3/20/2017 13:48
177,Dog Individual Spayed Female,PARSON RUSSELL TERR,WHITE/BLACK/BROWN,PEBBLES,15216,2017,12/29/2016 15:15
178,Dog Individual Spayed Female,PARSON RUSSELL TERR,WHITE/BLACK/BROWN,PEBBLES,15216,2017,1/30/2017 10:57
179,Dog Senior Citizen or Disability Spayed Female,MALTESE,WHITE,BUTTONS,15049,2017,12/15/2016 16:07
180,Dog Senior Citizen or Disability Spayed Female,DOBERMAN MIX,BLACK/BROWN,JUSTICE,15234,2017,12/19/2016 8:49
181,Dog Individual Spayed Female,FRENCH BULLDOG,CREAM,MOU ROE,15142,2017,1/3/2017 8:39
182,Dog Senior Citizen or Disability Spayed Female,FRENCH BULLDOG,CREAM,MOU ROE,15142,2017,1/3/2017 8:39
183,Dog Senior Citizen or Disability Spayed Female,SHETLAND SHEEP MIX,WHITE/BROWN,SUMMER RAIN,15243,2017,12/20/2016 8:45
184,Dog Individual Neutered Male,GER SHEPHERD,BLACK/BROWN,SMOKY,15239,2017,3/27/2017 12:26
185,Dog Senior Citizen or Disability Spayed Female,GER SHEPHERD,BLACK/BROWN,HANNAH,15237,2017,12/8/2016 10:09
186,Dog Individual Neutered Male,POODLE MIX,BROWN,BUDDY BEAR,15034,2017,2/21/2017 12:06
187,Dog Individual Spayed Female,YORKSHIRE TERRIER,BLACK/BROWN,GRACIE,15237,2017,1/5/2017 9:18
188,Dog Individual Spayed Female,MIXED,BLACK,MAY I,15101,2017,12/30/2016 12:15
189,Dog Individual Spayed Female,PUG,BLACK/FAWN,MALING,15131,2017,12/22/2016 8:56
190,Dog Senior Citizen or Disability Spayed Female,BICHON FRISE,WHITE,MISTY,15241,2017,12/13/2016 10:51
191,Dog Senior Citizen or Disability Neutered Male,POMERANIAN,WHITE/APRICOT,KOALA,15044,2017,1/4/2017 15:49
192,Dog Senior Citizen or Disability Spayed Female,BICHON FRISE,WHITE,BRIDGET,15234,2017,12/5/2016 8:43
193,Dog Senior Citizen or Disability Neutered Male,SCHNAUZER MIN,GREY,BAXTER,15236,2017,1/3/2017 14:03
194,Dog Senior Citizen or Disability Neutered Male,SCHNAUZER MIN,GREY,BAXTER,15236,2017,1/3/2017 14:03
195,Dog Individual Neutered Male,GER SHEPHERD,WHITE/BLACK/BROWN,SCHULTZ,15065,2017,3/20/2017 8:26
196,Dog Senior Citizen or Disability Neutered Male,SCHNAUZER MIN,SALT/PEPPER,FRITZIE,15116,2017,1/10/2017 16:33
197,Dog Individual Spayed Female,MIXED,BLACK/BROWN,SPECK,15017,2017,3/24/2017 14:22
198,Dog Senior Citizen or Disability Spayed Female,CAV KING CHAR SPANI,BLACK/BROWN,LUCIA,15122,2017,3/7/2017 8:41
199,Dog Individual Neutered Male,RAT TERRIER,MULTI,BAXTER,15235,2017,2/7/2017 16:05
200,Dog Individual Neutered Male,CHIHUAHUA,BLACK/TAN,BOGEY,15065,2017,3/20/2017 8:26
201,Dog Individual Male,BICHON FRISE,WHITE,JACK,15137,2017,12/7/2016 8:49
202,Dog Senior Citizen or Disability Neutered Male,LAB MIX,YELLOW,CABOT,15223,2017,12/13/2016 15:54
203,Dog Individual Male,LAB MIX,BLACK,HARLEY,15239,2017,1/27/2017 12:25
204,Dog Individual Neutered Male,SCHNAUZER MIN,WHITE/BLACK,YODA,15238,2017,12/15/2016 16:01
205,Dog Individual Neutered Male,POODLE MIX,BLACK,PETEY,15108,2017,12/14/2016 9:07
206,Dog Individual Spayed Female,BEAGLE MIX,WHITE/BLACK/BROWN,BAILEY,15084,2017,1/6/2017 15:04
207,Dog Senior Citizen or Disability Neutered Male,BICHON FRISE,WHITE,MAXWELL,15216,2017,2/3/2017 16:13
208,Dog Senior Citizen or Disability Spayed Female,YORKSHIRE TERRIER,BLACK/BROWN,PEBBLES,15088,2017,12/13/2016 14:16
209,Dog Individual Spayed Female,GOLDEN RETRIEVER,GOLD,RILEY,15143,2017,2/27/2017 14:52
210,Dog Senior Citizen or Disability Female,CHIHUAHUA,WHITE/BROWN,BAMBI,15088,2017,12/13/2016 14:16
211,Dog Individual Spayed Female,MALTESE,WHITE,ABBY,15014,2017,1/10/2017 15:55
212,Dog Senior Citizen or Disability Spayed Female,MIXED,BLACK/BROWN,DAISY,15024,2017,2/2/2017 9:43
213,Dog Individual Spayed Female,BEAGLE,WHITE/BLACK/BROWN,BETTY,15227,2017,12/15/2016 14:50
214,Dog Senior Citizen or Disability Spayed Female,SIB HUSKY MIX,YELLOW,MISTY,15104,2017,12/14/2016 9:07
215,Dog Individual Neutered Male,MIXED,MULTI,JAKE,15101,2017,1/4/2017 15:56
216,Dog Senior Citizen or Disability Spayed Female,BEAGLE,MULTI,ABIGAIL,15202,2017,12/9/2016 10:27
217,Dog Individual Neutered Male,MIXED,SPOTTED,BECKER,15202,2017,1/19/2017 13:48
218,Dog Senior Citizen or Disability Neutered Male,YORKSHIRE TERR MIX,BLACK/TAN,TEDDY,15132,2017,2/6/2017 11:09
219,Dog Senior Citizen or Disability Neutered Male,W HGHLND WH TERRIER,WHITE,MAC,15101,2017,1/5/2017 9:18
220,Dog Senior Citizen or Disability Spayed Female,COCKER SPANIEL,BUFF,LUCY,15146,2017,2/3/2017 15:54
221,Dog Individual Male,BEAGLE,MULTI,BILLY,15122,2017,2/10/2017 9:55
222,Dog Individual Spayed Female,ST BERNARD,WHITE/RED,CHLOE,15238,2017,12/14/2016 8:41
223,Dog Senior Citizen or Disability Spayed Female,MIXED,WHITE,MOLLY,15101,2017,12/14/2016 13:54
224,Dog Individual Neutered Male,POMERANIAN,WHITE,ROMEO,15025,2017,2/1/2017 14:35
225,Dog Individual Neutered Male,MIXED,WHITE/BLACK,DAKOTA,15202,2017,1/3/2017 14:04
226,Dog Individual Spayed Female,AM ESKIMO DOG,WHITE,BELL,15239,2017,1/19/2017 8:44
227,Dog Individual Spayed Female,ST BERNARD,WHITE/BLACK,FRANKIE,15238,2017,12/14/2016 8:41
228,Dog Individual Neutered Male,MIXED,WHITE/BLACK/BROWN,PAYTON,15215,2017,12/14/2016 8:41
229,Dog Individual Spayed Female,RAT TERRIER,SPOTTED,LOLA,15101,2017,12/7/2016 16:19
230,Dog Individual Spayed Female,SHETLAND SHEEPDOG,WHITE/BROWN,SOPHIE,15135,2017,2/17/2017 15:08
231,Dog Individual Male,DACHSHUND,BLACK/TAN,BUSTER,15133,2017,1/4/2017 15:49
232,Dog Senior Citizen or Disability Spayed Female,MALTESE,WHITE,CAMMI NICOLE,15122,2017,12/23/2016 8:44
233,Dog Individual Spayed Female,DACHSHUND,BROWN,KANGA,15236,2017,1/9/2017 9:11
234,Dog Individual Spayed Female,COLLIE MIX,BLACK/BROWN,LADY BUG,15102,2017,1/11/2017 14:10
235,Dog Individual Spayed Female,SHIBA INU,WHITE/RED,SUKI,15017,2017,2/15/2017 15:53
236,Dog Individual Spayed Female,SHIH TZU,MULTI,JENNY,15234,2017,1/3/2017 14:03
237,Dog Individual Spayed Female,LABRADOR RETRIEVER,BLONDE,SANDY,15229,2017,12/9/2016 14:53
238,Dog Individual Male,GER SHEPHERD MIX,BLACK/TAN,JACKSON,15024,2017,2/7/2017 13:02
239,Dog Individual License Duplicate,GOLDEN RETRIEVER,GOLD,DEXTER,15147,2017,2/27/2017 10:20
240,Dog Individual Spayed Female,BEAGLE,BLACK,MAGGIE,15122,2017,12/30/2016 11:47
241,Dog Individual Neutered Male,BOXER,FAWN,JAKE,15228,2017,12/29/2016 16:05
242,Dog Individual Spayed Female,YORKSHIRE TERRIER,BLACK/GOLD,CHUNK,15136,2017,1/5/2017 9:18
243,Dog Senior Citizen or Disability Neutered Male,HAVANESE,MULTI,WILLIE,15205,2017,1/5/2017 16:35
244,Dog Individual Spayed Female,BEAGLE MIX,SPOTTED,DAISY,15143,2017,2/15/2017 9:10
245,Dog Individual Spayed Female,LHASA APSO MIX,WHITE/BLACK,FLOSSIE,15215,2017,3/22/2017 8:39
246,Dog Senior Citizen or Disability Spayed Female,PULI,BLACK,FRANKIE,15236,2017,1/9/2017 16:01
